Data,Nazwa,ISIN,Waluta,Kurs otwarcia,Kurs max,Kurs min,Kurs zamknięcia,Zmiana,Wolumen,Liczba Transakcji,Obrót,Liczba otwartych pozycji,Wartość otwartych pozycji,Cena nominalna
1999-11-26,PKNORLEN,PLPKN0000018,PLN,21.8,22.4,21.4,22.2,0,10902704,4342,309357.18,0,0,0
1999-11-29,PKNORLEN,PLPKN0000018,PLN,21.9,22.1,21.6,22,-0.9,3781050,1800,64802.38,0,0,0
1999-11-30,PKNORLEN,PLPKN0000018,PLN,22.2,22.3,21.9,21.9,-0.5,2260083,5738,56934.88,0,0,0
1999-12-01,PKNORLEN,PLPKN0000018,PLN,22.2,22.8,22.1,22.3,1.8,2116148,5295,51794.72,0,0,0
1999-12-02,PKNORLEN,PLPKN0000018,PLN,23.2,23.7,22.9,23,3.1,2271722,5619,62179.21,0,0,0
1999-12-03,PKNORLEN,PLPKN0000018,PLN,23,23.6,23,23.2,0.9,1621217,3972,42354.44,0,0,0
1999-12-06,PKNORLEN,PLPKN0000018,PLN,24,24.5,24,23.7,2.2,2066164,3682,69975.84,0,0,0
1999-12-07,PKNORLEN,PLPKN0000018,PLN,24.2,24.4,24,24.3,2.5,1668198,4580,47847.38,0,0,0
1999-12-08,PKNORLEN,PLPKN0000018,PLN,24.5,24.6,24.1,24,-1.2,2617788,3839,94306.14,0,0,0
1999-12-09,PKNORLEN,PLPKN0000018,PLN,24,24.1,23.6,24.2,0.8,1728127,2946,55882.16,0,0,0
1999-12-10,PKNORLEN,PLPKN0000018,PLN,24.1,24.1,23.8,24.2,0,1287862,2918,39231.2,0,0,0
1999-12-13,PKNORLEN,PLPKN0000018,PLN,23.9,24,23.6,23.8,-1.7,1084536,613,32986.94,0,0,0
1999-12-14,PKNORLEN,PLPKN0000018,PLN,24.2,24.4,24.1,24,0.8,2173392,3069,56490.82,0,0,0
1999-12-15,PKNORLEN,PLPKN0000018,PLN,24.2,24.2,24,24.3,1.3,901254,2217,24749.74,0,0,0
1999-12-16,PKNORLEN,PLPKN0000018,PLN,23.9,23.9,23.7,24,-1.2,1007589,1848,28408.84,0,0,0
1999-12-17,PKNORLEN,PLPKN0000018,PLN,24,24,23.7,23.8,-0.8,927399,1645,23963.82,0,0,0
1999-12-20,PKNORLEN,PLPKN0000018,PLN,24,24.3,23.9,24,0.8,1675257,2291,57544.7,0,0,0
1999-12-21,PKNORLEN,PLPKN0000018,PLN,24.2,24.8,24.2,24.1,0.4,1094205,2339,40987.46,0,0,0
1999-12-22,PKNORLEN,PLPKN0000018,PLN,25.6,25.8,25.4,25,3.7,1969072,3999,52052.22,0,0,0
1999-12-23,PKNORLEN,PLPKN0000018,PLN,26,26,25.5,25.7,2.8,898551,2450,26151.5,0,0,0
1999-12-27,PKNORLEN,PLPKN0000018,PLN,26,26.3,25.7,25.7,0,1058911,1992,40161.82,0,0,0
1999-12-28,PKNORLEN,PLPKN0000018,PLN,25.4,25.5,25.1,25.7,0,770738,2168,24094.06,0,0,0
1999-12-29,PKNORLEN,PLPKN0000018,PLN,25.3,26.1,25.2,26.1,-1.9,1383433,2346,41596.78,0,0,0
2000-01-03,PKNORLEN,PLPKN0000018,PLN,26.9,27,26.2,26.7,5.6,1104790,1718,39414.08,0,0,0
2000-01-04,PKNORLEN,PLPKN0000018,PLN,25.5,26,25.4,25.6,-2.3,1356054,2344,43354.52,0,0,0
2000-01-05,PKNORLEN,PLPKN0000018,PLN,25.2,25.5,25,25.3,-5,1869432,2551,57563.96,0,0,0
2000-01-06,PKNORLEN,PLPKN0000018,PLN,25.1,25.9,25.1,25.8,2.8,1129966,1777,37650.06,0,0,0
2000-01-07,PKNORLEN,PLPKN0000018,PLN,26.8,27.3,26.6,27,3.1,2879179,3206,23835.66,0,0,0
2000-01-10,PKNORLEN,PLPKN0000018,PLN,27.8,28.4,27.3,27.3,3.4,3034484,1255,49879.39,0,0,0
2000-01-11,PKNORLEN,PLPKN0000018,PLN,26.4,27.1,26.3,26.8,-0.7,1158529,789,37461.52,0,0,0
2000-01-12,PKNORLEN,PLPKN0000018,PLN,26.4,26.7,26.3,26.7,-2.6,939589,563,31249.62,0,0,0
2000-01-13,PKNORLEN,PLPKN0000018,PLN,27.3,27.7,27.2,27.5,2.3,1472400,922,67872,0,0,0
2000-01-14,PKNORLEN,PLPKN0000018,PLN,27.3,27.9,27,27.3,2.6,2766845,4016,83364.3,0,0,0
2000-01-17,PKNORLEN,PLPKN0000018,PLN,27,27.3,27,27.1,-1.8,1216408,486,35693.74,0,0,0
2000-01-18,PKNORLEN,PLPKN0000018,PLN,27.3,27.3,26.3,26.5,0.7,856937,459,32004.25,0,0,0
2000-01-19,PKNORLEN,PLPKN0000018,PLN,26.3,26.7,26.1,26.6,-4,1064637,1681,31819.4,0,0,0
2000-01-20,PKNORLEN,PLPKN0000018,PLN,26.6,27.1,26.4,27,2.3,1488080,387,42644.17,0,0,0
2000-01-21,PKNORLEN,PLPKN0000018,PLN,27.1,27.3,27,27.2,0.4,1081790,1261,43087.15,0,0,0
2000-01-24,PKNORLEN,PLPKN0000018,PLN,26.6,26.6,26,26.4,0,814494,1269,25544.85,0,0,0
2000-01-25,PKNORLEN,PLPKN0000018,PLN,25.5,25.5,24.5,25.4,-4.1,1329031,1955,39442.4,0,0,0
2000-01-26,PKNORLEN,PLPKN0000018,PLN,25.2,25.6,25.1,25.4,-1.2,956725,1610,30770.83,0,0,0
2000-01-27,PKNORLEN,PLPKN0000018,PLN,25.3,25.8,25.3,25.8,-0.8,685378,1066,9544.65,0,0,0
2000-01-28,PKNORLEN,PLPKN0000018,PLN,26.1,26.4,25.2,25.5,2.8,718450,410,25533.6,0,0,0
2000-01-31,PKNORLEN,PLPKN0000018,PLN,25.1,25.2,25,25.1,-2.3,619497,1116,18747.15,0,0,0
2000-02-01,PKNORLEN,PLPKN0000018,PLN,25.9,26.1,24.7,24.8,1.2,986869,1331,9273.29,0,0,0
2000-02-02,PKNORLEN,PLPKN0000018,PLN,24.7,25.1,24.6,25,-2.7,1119387,1638,34546.8,0,0,0
2000-02-03,PKNORLEN,PLPKN0000018,PLN,25.7,26.1,25.2,25.9,1.2,1286765,842,53296.8,0,0,0
2000-02-04,PKNORLEN,PLPKN0000018,PLN,26.5,26.5,25.4,25.6,4,990461,433,27180.46,0,0,0
2000-02-07,PKNORLEN,PLPKN0000018,PLN,25.2,25.7,25.1,25.3,-2.7,855721,399,25150.55,0,0,0
2000-02-08,PKNORLEN,PLPKN0000018,PLN,25.2,25.2,24.8,25,-0.8,1232197,662,40256.95,0,0,0
2000-02-09,PKNORLEN,PLPKN0000018,PLN,25.3,25.3,24.4,24.5,-0.4,2136237,2376,66829.74,0,0,0
2000-02-10,PKNORLEN,PLPKN0000018,PLN,24.2,24.5,24,24.3,-3.2,980685,2027,26352.25,0,0,0
2000-02-11,PKNORLEN,PLPKN0000018,PLN,23.5,23.9,23.1,23.3,-1.6,2368369,2084,64558.95,0,0,0
2000-02-14,PKNORLEN,PLPKN0000018,PLN,23,24.2,22.8,24,-5,1776213,2316,41147.75,0,0,0
2000-02-15,PKNORLEN,PLPKN0000018,PLN,24.3,24.6,24.1,24.2,9.6,1785337,2148,61354.35,0,0,0
2000-02-16,PKNORLEN,PLPKN0000018,PLN,24,24,23.3,23.6,-2,1235723,1326,31813.5,0,0,0
2000-02-17,PKNORLEN,PLPKN0000018,PLN,23.3,24.5,23.3,24.5,-3.7,1151674,1524,41911.05,0,0,0
2000-02-18,PKNORLEN,PLPKN0000018,PLN,24.6,25.1,24.5,24.7,3,2095964,1605,64438.35,0,0,0
2000-02-21,PKNORLEN,PLPKN0000018,PLN,24,24.3,23.9,24.2,-3.3,755979,1262,24007.65,0,0,0
2000-02-22,PKNORLEN,PLPKN0000018,PLN,24.6,24.8,23.7,23.7,3,799825,1195,26189.6,0,0,0
2000-02-23,PKNORLEN,PLPKN0000018,PLN,23.3,24.1,23.1,23.5,-1.7,1212286,1497,46125.3,0,0,0
2000-02-24,PKNORLEN,PLPKN0000018,PLN,23.3,23.7,22.8,23,-2.1,1391965,1680,35811.05,0,0,0
2000-02-25,PKNORLEN,PLPKN0000018,PLN,22.4,23,22.4,22.7,-1.3,843345,1817,19611.87,0,0,0
2000-02-28,PKNORLEN,PLPKN0000018,PLN,22.4,22.7,21.7,22.3,-4.8,1347570,1953,34360.05,0,0,0
2000-02-29,PKNORLEN,PLPKN0000018,PLN,22.6,22.6,22.2,22.4,3.7,597271,1187,15822.25,0,0,0
2000-03-01,PKNORLEN,PLPKN0000018,PLN,22.5,22.7,22.2,22.5,-0.9,898877,1431,24980.72,0,0,0
2000-03-02,PKNORLEN,PLPKN0000018,PLN,23.2,23.4,22.8,23.2,0,974747,1420,32472.45,0,0,0
2000-03-03,PKNORLEN,PLPKN0000018,PLN,23.5,23.7,23.2,23.7,3.6,712182,1121,9363.43,0,0,0
2000-03-06,PKNORLEN,PLPKN0000018,PLN,24.2,24.2,23.4,23.5,3,662262,1327,19200.58,0,0,0
2000-03-07,PKNORLEN,PLPKN0000018,PLN,23.1,23.5,23,23.3,-2.1,558540,1479,6170.63,0,0,0
2000-03-08,PKNORLEN,PLPKN0000018,PLN,22.9,23.1,22.7,22.9,-4.3,651759,992,16058.85,0,0,0
2000-03-09,PKNORLEN,PLPKN0000018,PLN,23,23.2,22.5,22.5,3.1,568505,811,8932.23,0,0,0
2000-03-10,PKNORLEN,PLPKN0000018,PLN,23,23,22.7,22.8,0.9,572120,790,16303.72,0,0,0
2000-03-13,PKNORLEN,PLPKN0000018,PLN,22.6,22.9,21.9,22.2,-3,1098005,1667,29714.8,0,0,0
2000-03-14,PKNORLEN,PLPKN0000018,PLN,22.8,23.2,22.2,23.2,-0.9,2350186,1849,53423.37,0,0,0
2000-03-15,PKNORLEN,PLPKN0000018,PLN,22.5,22.9,22.4,22.5,1.3,798148,927,24596.55,0,0,0
2000-03-16,PKNORLEN,PLPKN0000018,PLN,22.8,23.3,22.7,23,2.2,1060486,1008,26153.6,0,0,0
2000-03-17,PKNORLEN,PLPKN0000018,PLN,23.5,23.5,23.2,23.3,0.9,1422113,1471,50953.31,0,0,0
2000-03-20,PKNORLEN,PLPKN0000018,PLN,23.1,23.2,23,23.1,-0.9,565533,810,14995.09,0,0,0
