LP.	Data	Typ instrumentu	Nazwa	ISIN	Kurs otwarcia	Kurs maksymalny	Kurs minimalny	Kurs zamkniecia	Zmiana	Wolumen obrotu	Liczba transakcji	Wartosc obrotu w tys. zl	Liczba otwartych pozycji	Wartosc otwartych pozycji w mln zl	Cena nominalna obligacji	Waluta
1	2014-01-02	10	LOTOS	PLLOTOS00025	35,67	36,77	35,4	36,35	2,54	43692	312	1578,91	0	0	0	PLN
2	2014-01-03	10	LOTOS	PLLOTOS00025	36,26	36,71	36,06	36,1	-0,69	39965	476	1453,2	0	0	0	PLN
3	2014-01-07	10	LOTOS	PLLOTOS00025	36	36	35	35	-3,05	137130	1052	4823,16	0	0	0	PLN
4	2014-01-08	10	LOTOS	PLLOTOS00025	34,9	35,19	34	34,66	-0,97	149944	913	5210,69	0	0	0	PLN
5	2014-01-09	10	LOTOS	PLLOTOS00025	34,66	35,04	34,37	34,6	-0,17	112134	535	3883,09	0	0	0	PLN
6	2014-01-10	10	LOTOS	PLLOTOS00025	34,7	34,86	34,5	34,5	-0,29	113584	567	3932,43	0	0	0	PLN
7	2014-01-13	10	LOTOS	PLLOTOS00025	34,88	35,5	34,87	35,5	2,9	97714	641	3446,02	0	0	0	PLN
8	2014-01-14	10	LOTOS	PLLOTOS00025	35,43	35,7	34,99	35,1	-1,13	179952	894	6368,84	0	0	0	PLN
9	2014-01-15	10	LOTOS	PLLOTOS00025	35,69	35,69	34,66	34,73	-1,05	106599	872	3746,93	0	0	0	PLN
10	2014-01-16	10	LOTOS	PLLOTOS00025	34,94	35,6	34,76	35,55	2,36	44554	455	1574,59	0	0	0	PLN
11	2014-01-17	10	LOTOS	PLLOTOS00025	35,7	35,78	35,36	35,5	-0,14	106790	566	3790,03	0	0	0	PLN
12	2014-01-20	10	LOTOS	PLLOTOS00025	35,45	35,49	35,01	35,4	-0,28	42897	363	1516,95	0	0	0	PLN
13	2014-01-21	10	LOTOS	PLLOTOS00025	35,5	35,79	35,5	35,5	0,28	253968	298	9063,83	0	0	0	PLN
14	2014-01-22	10	LOTOS	PLLOTOS00025	35,8	36	35,57	36	1,41	134212	477	4806,31	0	0	0	PLN
15	2014-01-23	10	LOTOS	PLLOTOS00025	36	36,29	35,6	35,9	-0,28	164937	767	5919,24	0	0	0	PLN
16	2014-01-24	10	LOTOS	PLLOTOS00025	35,52	36,17	35,5	36,17	0,75	143021	699	5130,08	0	0	0	PLN
17	2014-01-27	10	LOTOS	PLLOTOS00025	35,41	36,2	35,32	36,03	-0,39	288480	1086	10320	0	0	0	PLN
18	2014-01-28	10	LOTOS	PLLOTOS00025	36,03	36,2	35,63	35,95	-0,22	106175	365	3811,23	0	0	0	PLN
19	2014-01-29	10	LOTOS	PLLOTOS00025	36,09	36,09	35,61	36,07	0,33	164562	579	5902,32	0	0	0	PLN
20	2014-01-30	10	LOTOS	PLLOTOS00025	35,6	36,05	35,6	35,94	-0,36	84606	568	3038,55	0	0	0	PLN
21	2014-01-31	10	LOTOS	PLLOTOS00025	36,09	36,24	35,32	35,32	-1,73	281807	1164	10051,55	0	0	0	PLN
22	2014-02-03	10	LOTOS	PLLOTOS00025	35,44	36,28	35,44	36,25	2,63	73181	396	2641,36	0	0	0	PLN
23	2014-02-04	10	LOTOS	PLLOTOS00025	36	36,68	35,96	36,52	0,74	128632	453	4676,63	0	0	0	PLN
24	2014-02-05	10	LOTOS	PLLOTOS00025	36,52	37,01	36,52	36,8	0,77	139326	712	5123,87	0	0	0	PLN
25	2014-02-06	10	LOTOS	PLLOTOS00025	36,8	37,48	36,31	37,3	1,36	216667	945	8016,74	0	0	0	PLN
26	2014-02-07	10	LOTOS	PLLOTOS00025	37,5	38,05	37,2	38,05	2,01	170326	680	6419,11	0	0	0	PLN
27	2014-02-10	10	LOTOS	PLLOTOS00025	37,8	38	37,53	37,98	-0,18	95443	437	3611,34	0	0	0	PLN
28	2014-02-11	10	LOTOS	PLLOTOS00025	38,2	38,45	38,01	38,38	1,05	141576	690	5425,6	0	0	0	PLN
29	2014-02-12	10	LOTOS	PLLOTOS00025	38,6	38,8	38,55	38,8	1,09	75979	406	2939,56	0	0	0	PLN
30	2014-02-13	10	LOTOS	PLLOTOS00025	38,6	38,8	38,08	38,78	-0,05	106507	556	4091,48	0	0	0	PLN
31	2014-02-14	10	LOTOS	PLLOTOS00025	38,8	38,9	38,4	38,8	0,05	96378	347	3723,99	0	0	0	PLN
32	2014-02-17	10	LOTOS	PLLOTOS00025	38,9	39,09	38,16	38,4	-1,03	115153	443	4464,36	0	0	0	PLN
33	2014-02-18	10	LOTOS	PLLOTOS00025	38,6	39,1	37,55	37,91	-1,28	101142	490	3870,08	0	0	0	PLN
34	2014-02-19	10	LOTOS	PLLOTOS00025	37,91	38,95	37,42	38,9	2,61	62692	394	2403,24	0	0	0	PLN
35	2014-02-20	10	LOTOS	PLLOTOS00025	38,45	38,66	37,61	38,5	-1,03	216183	640	8297,64	0	0	0	PLN
36	2014-02-21	10	LOTOS	PLLOTOS00025	38,9	39,31	38,66	39,3	2,08	116028	371	4525,67	0	0	0	PLN
